,mkt_cap,beta,book_value,sector,eps,month_ago,year_ago,prev_date,analysis_date,trade_date,pred_date,volume
RTN,52832329728,1.022477,12204000000,Industrials,10.852999531503796,177.09371948242188,192.11224365234372,189.7899932861328,189.67999267578125,186.0200042724609,182.2899932861328,1319500.0
WEC,27600826368,0.22718400000000002,9984500000,Utilities,3.4399999339520013,83.08000183105469,64.90557861328125,86.66000366210938,87.5,86.66000366210938,85.45999908447266,1538300.0
AME,20175321088,1.293816,4456621000,Industrials,3.44999982077923,88.26000213623047,76.12010192871094,89.27999877929688,88.55000305175781,90.75,89.61000061035156,1606700.0
HP,5221283840,1.668938,4095054000,Energy,,49.7400016784668,57.71502304077149,48.06000137329102,47.72000122070313,49.40999984741211,49.68000030517578,1487100.0
DNKN,6762881536,0.882078,-691293000,Consumer Cyclical,2.7749999330242594,79.69000244140625,70.21751403808594,82.5999984741211,81.83000183105469,81.5999984741211,80.16000366210938,648000.0
IT,15381133312,1.4540540000000002,856897000,Technology,1.7750001013661978,158.97000122070312,139.66000366210938,171.0399932861328,170.72999572753906,138.25999450683594,139.33000183105472,432500.0
OLN,3366441216,1.552152,2837600000,Basic Materials,2.0859999979569053,21.75,29.5237979888916,21.350000381469727,20.420000076293945,20.63999938964844,20.06999969482422,3205600.0
ACN,125917396992,0.9995040000000001,13737324000,Technology,7.1949999945312895,183.0,157.87741088867188,196.92999267578125,197.3500061035156,195.6499938964844,192.5800018310547,1319700.0
GLIBA,6360594432,1.389083,4939472000,Communication Services,,60.61000061035156,47.82872772216797,60.349998474121094,60.27000045776367,60.79999923706055,59.72999954223633,538300.0
VRSN,25688702976,0.8443510000000001,-1425167000,Technology,5.2129999264269005,207.2899932861328,153.35000610351562,216.5800018310547,215.5399932861328,213.92999267578125,211.08999633789062,487700.0
EW,44947394560,0.9535040000000001,3500300000,Healthcare,3.412999983903177,185.42999267578125,139.14999389648438,212.8500061035156,216.2700042724609,216.8699951171875,212.8500061035156,1133800.0
FL,4666680832,1.539368,2602000000,Consumer Cyclical,4.786999885670149,40.74662780761719,46.28290176391602,43.2400016784668,42.540000915527344,42.02000045776367,41.060001373291016,2778600.0
CMG,22428577792,1.182839,1538049000,Consumer Cyclical,8.865999604387246,724.1199951171875,487.67999267578125,779.8599853515625,809.030029296875,805.25,795.530029296875,971800.0
AWK,20530714624,0.235302,5932000000,Utilities,3.173000192619906,115.26000213623048,86.94685363769531,115.08999633789062,115.30999755859376,115.11000061035156,114.77999877929688,766000.0
SM,998980480,2.322972,2743225000,Energy,0.1200000043146069,12.289999961853027,27.42706871032715,9.229999542236328,8.899999618530273,9.65999984741211,9.970000267028807,5127000.0
COO,16899588096,0.9415819999999999,3542000000,Healthcare,8.51299965635392,331.5400085449219,256.7879638671875,337.9800109863281,341.489990234375,341.0899963378906,337.3999938964844,202300.0
CNK,4604450816,0.404541,1451942000,Consumer Cyclical,1.5799999967853506,35.22999954223633,34.548568725585945,38.849998474121094,39.31999969482422,39.61000061035156,39.91999816894531,951900.0
SHW,47063633920,1.244953,3747482000,Basic Materials,12.437000111902282,454.75,439.9673767089844,512.2999877929689,510.1400146484375,515.02001953125,513.0399780273439,648900.0
HPQ,32385236992,1.188811,-1487000000,Technology,2.473000300325757,20.739999771118164,23.384801864624023,21.520000457763672,21.5,21.540000915527344,21.040000915527344,5866900.0
AMAT,47432441856,1.61622,8201000000,Technology,3.5659999952143675,44.68999862670898,48.16771697998047,50.7400016784668,50.66999816894531,50.72999954223633,49.36999893188477,4485700.0
